Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1092,a,a,300,7,2000,1,40,2014,"Jan,Apr,Jul,Oct"
6,a,a,310,12,2013,0,,,
13,d,a,310,,,1,45,2009,"Feb,May,Aug,Nov"
243,a,a,310,,,1,5,2013,"Feb,May,Aug,Nov"
717,d,c,310,,,1,40,2011,"Jan,Apr,Jul,Oct"
902,a,a,310,5,2015,1,40,2014,"Jan,Apr,Jul,Oct"
238,a,a,320,,,1,45,2009,"Feb,May,Aug,Nov"
479,a,a,320,12,2005,1,9,2011,"Feb,May,Aug,Nov"
74,a,a,330,,,0,,,
90,a,a,330,11,2007,0,,,
254,d,a,330,3,2008,1,1,2012,"Mar,Jun,Sept,Dec"
587,d,c,330,9,2006,1,14,2011,"Jan,Apr,Jul,Oct"
973,d,c,330,,,1,28,2012,"Jan,Apr,Jul,Oct"
1090,a,a,330,,,1,14,2011,"Jan,Apr,Jul,Oct"
1105,c,c,330,11,2008,1,5,2013,"Feb,May,Aug,Nov"
248,a,c,340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
251,a,c,340,,,0,,,
362,c,c,340,,,0,,,
446,a,a,340,10,2000,1,31,2013,"Feb,May,Aug,Nov"
603,a,a,340,4,2007,1,13,2010,"Jan,Apr,Jul,Oct"
778,a,a,340,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
61,a,c,350,12,2007,1,1,2012,"Jan,Apr,Jul,Oct"
173,a,a,350,12,2012,0,,,
211,a,c,350,11,2006,0,,,
325,a,c,350,3,2011,1,22,2011,"Feb,May,Aug,Nov"
383,a,c,350,,,0,,,
505,a,a,350,,,1,5,2013,"Feb,May,Aug,Nov"
607,a,a,350,8,1999,1,14,2011,"Jan,Apr,Jul,Oct"
891,a,c,350,,,1,31,2013,"Feb,May,Aug,Nov"
266,a,c,360,3,2014,1,9,2011,"Mar,Jun,Sept,Dec"
589,a,c,360,,,1,18,2013,"Feb,May,Aug,Nov"
330,a,c,370,,,1,22,2012,"Mar,Jun,Sept,Dec"
848,a,c,370,7,2007,1,14,2011,"Jan,Apr,Jul,Oct"
1049,a,a,370,7,2012,1,14,2011,"Jan,Apr,Jul,Oct"
206,a,c,380,,,1,14,2012,"Jan,Apr,Jul,Oct"
754,c,c,380,5,2008,1,10,2014,"Mar,Jun,Sept,Dec"
825,a,a,380,5,2011,1,40,2014,"Jan,Apr,Jul,Oct"
104,a,a,390,6,2009,0,,,
954,a,a,390,2,2013,1,10,2014,"Jan,Apr,Jul,Oct"
513,a,a,400,8,2013,0,,,
1070,c,c,400,10,2008,0,,,
1081,b,a,400,3,2006,0,,,
67,a,c,410,2,2006,0,,,
656,d,a,410,4,2009,1,13,2010,"Jan,Apr,Jul,Oct"
811,a,a,410,9,2012,0,,,
822,a,c,410,11,2010,1,48,2010,"Mar,Jun,Sept,Dec"
57,d,c,420,6,2014,0,,,
257,a,a,420,12,2012,0,,,
271,a,a,420,,,1,14,2011,"Jan,Apr,Jul,Oct"
1043,c,a,420,3,2006,0,,,
1064,a,c,420,,,0,,,
25,c,a,430,4,2003,0,,,
437,c,c,430,,,1,50,2010,"Jan,Apr,Jul,Oct"
696,a,c,430,,,0,,,
585,d,c,440,4,2014,0,,,
958,a,a,440,11,2013,0,,,
984,c,a,440,,,1,1,2013,"Jan,Apr,Jul,Oct"
1082,c,a,440,4,2002,0,,,
52,d,c,450,4,2014,1,39,2010,"Jan,Apr,Jul,Oct"
226,a,a,450,,,0,,,
499,c,c,450,,,1,5,2013,"Feb,May,Aug,Nov"
693,d,a,450,,,1,40,2011,"Jan,Apr,Jul,Oct"
1026,c,a,450,6,2011,1,48,2012,"Mar,Jun,Sept,Dec"
391,a,a,460,11,2014,1,31,2013,"Feb,May,Aug,Nov"
694,a,c,460,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
816,c,c,460,,,0,,,
947,a,a,460,3,2014,1,13,2010,"Jan,Apr,Jul,Oct"
925,c,a,470,3,2007,1,1,2012,"Jan,Apr,Jul,Oct"
86,a,a,480,2,2005,1,31,2013,"Jan,Apr,Jul,Oct"
179,a,c,480,,,0,,,
885,a,a,480,12,2005,0,,,
927,a,a,480,,,0,,,
203,c,c,490,11,2002,0,,,
818,d,a,490,,,1,35,2010,"Mar,Jun,Sept,Dec"
985,c,c,490,5,2007,1,13,2010,"Jan,Apr,Jul,Oct"
1011,a,c,490,9,2012,1,18,2011,"Feb,May,Aug,Nov"
442,c,a,500,,,1,45,2009,"Feb,May,Aug,Nov"
709,a,a,500,12,2010,0,,,
629,d,a,510,7,2014,1,23,2015,"Mar,Jun,Sept,Dec"
795,d,a,510,,,1,35,2010,"Mar,Jun,Sept,Dec"
193,a,a,520,,,0,,,
464,c,a,520,3,2009,0,,,
658,d,c,520,,,1,37,2009,"Jan,Apr,Jul,Oct"
977,a,a,520,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
642,c,c,530,4,2005,1,35,2010,"Mar,Jun,Sept,Dec"
36,a,c,540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct"
44,a,a,540,6,2011,0,,,
260,a,a,540,10,2011,0,,,
753,d,c,540,11,2012,1,35,2010,"Mar,Jun,Sept,Dec"
1100,a,a,540,,,1,14,2011,"Jan,Apr,Jul,Oct"
1108,a,a,540,4,2004,0,,,
21,c,c,550,10,1999,1,45,2009,"Jan,Apr,Jul,Oct"
598,c,a,550,12,2013,1,40,2014,"Jan,Apr,Jul,Oct"
695,a,a,550,7,2011,1,1,2012,"Jan,Apr,Jul,Oct"
1016,c,c,550,,,1,35,2010,"Mar,Jun,Sept,Dec"
87,a,a,560,12,2010,0,,,
760,a,a,560,1,2011,0,,,
784,a,a,560,10,2014,1,10,2014,"Jan,Apr,Jul,Oct"
2,a,a,570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct"
319,a,c,570,9,2012,1,27,2012,"Mar,Jun,Sept,Dec"
904,d,c,570,7,2013,1,14,2011,"Jan,Apr,Jul,Oct"
546,a,a,580,1,2005,0,,,
599,d,c,580,11,2014,0,,,
936,a,a,580,2,2008,0,,,
512,b,b,590,,,1,5,2013,"Mar,Jun,Sept,Dec"
815,a,a,590,1,1900,1,40,2014,"Jan,Apr,Jul,Oct"
1031,d,a,590,5,2001,0,,,
537,a,a,600,5,2002,1,1,2012,"Jan,Apr,Jul,Oct"
969,a,c,600,11,1999,1,10,2013,"Jan,Apr,Jul,Oct"
239,d,c,610,,,0,,,
641,a,c,610,12,2003,1,36,2013,"Mar,Jun,Sept,Dec"
4,c,c,620,9,2009,0,,,
646,a,a,620,9,2014,0,,,
681,a,c,620,,,1,1,2014,"Mar,Jun,Sept,Dec"
986,a,a,620,10,2014,1,18,2014,"Feb,May,Aug,Nov"
781,a,a,630,4,2007,0,,,
1013,a,a,630,2,2015,1,31,2013,"Feb,May,Aug,Nov"
218,a,c,640,,,1,9,2011,"Mar,Jun,Sept,Dec"
774,a,c,640,9,2013,0,,,
541,a,c,650,7,1990,0,,,
685,a,a,650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct"
751,a,a,650,10,2006,0,,,
915,d,c,650,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
490,a,a,660,4,2013,1,40,2014,"Jan,Apr,Jul,Oct"
610,a,a,660,1,2007,0,,,
331,a,c,670,,,1,14,2015,"Jan,Apr,Jul,Oct"
1078,d,c,670,,,1,40,2011,"Jan,Apr,Jul,Oct"
116,a,a,680,4,2013,0,,,
311,a,c,680,7,2005,0,,,
684,d,c,680,,,1,22,2012,"Jan,Apr,Jul,Oct"
1095,a,a,690,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
563,a,a,700,3,2015,1,10,2014,"Jan,Apr,Jul,Oct"
776,c,a,700,4,2009,1,14,2011,"Jan,Apr,Jul,Oct"
244,d,a,710,3,2012,1,1,2012,"Jan,Apr,Jul,Oct"
469,c,c,710,9,2005,0,,,
951,d,c,710,,,1,40,2011,"Jan,Apr,Jul,Oct"
55,a,a,720,11,2004,0,,,
636,c,a,720,10,2004,1,13,2010,"Jan,Apr,Jul,Oct"
819,a,c,720,10,2014,0,,,
1025,a,a,720,11,2009,0,,,
1097,b,b,720,3,2002,0,,,
615,d,a,730,8,2007,0,,,
861,c,c,740,,,1,14,2013,"Mar,Jun,Sept,Dec"
125,a,a,760,12,2005,0,,,
413,a,c,760,9,2014,0,,,
966,a,a,760,2,2008,0,,,
477,d,a,770,7,2010,1,35,2010,"Jan,Apr,Jul,Oct"
539,a,a,770,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
241,d,c,780,,,0,,,
870,a,a,780,4,2009,0,,,
998,a,a,780,9,2005,1,5,2013,"Feb,May,Aug,Nov"
288,d,a,800,,,1,14,2011,"Mar,Jun,Sept,Dec"
831,a,a,800,6,2007,0,,,
432,a,a,810,5,2013,0,,,
540,d,c,810,,,1,48,2012,"Jan,Apr,Jul,Oct"
504,c,c,820,,,0,,,
1071,a,a,820,3,2012,1,35,2012,"Mar,Jun,Sept,Dec"
700,a,c,830,,,1,27,2013,"Jan,Apr,Jul,Oct"
409,d,c,840,,,1,1,2013,"Jan,Apr,Jul,Oct"
417,a,c,840,,,1,10,2014,"Jan,Apr,Jul,Oct"
769,b,b,840,,,1,48,2012,"Jan,Apr,Jul,Oct"
921,a,a,840,9,2006,0,,,
188,d,a,850,,,1,18,2011,"Feb,May,Aug,Nov"
920,a,a,850,2,2012,1,40,2014,"Jan,Apr,Jul,Oct"
1102,a,a,850,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
733,b,b,860,10,1999,0,,,
949,a,a,870,3,2006,0,,,
1114,a,c,870,,,0,,,
130,c,a,900,,,1,13,2010,"Jan,Apr,Jul,Oct"
353,b,b,900,,,1,14,2013,"Feb,May,Aug,Nov"
1110,c,c,900,9,2010,0,,,
435,a,a,910,,,0,,,
802,a,c,910,,,1,22,2011,"Feb,May,Aug,Nov"
970,a,a,910,12,2014,1,37,2009,"Jan,Apr,Jul,Oct"
131,c,a,920,7,2015,0,,,
852,c,a,940,4,2004,1,14,2011,"Jan,Apr,Jul,Oct"
11,a,c,960,11,2011,1,1,2012,"Jan,Apr,Jul,Oct"
575,a,a,960,5,2008,1,13,2010,"Jan,Apr,Jul,Oct"
655,d,c,960,11,2012,1,5,2013,"Feb,May,Aug,Nov"
210,d,a,970,11,1999,1,5,2013,"Feb,May,Aug,Nov"
752,a,a,970,3,2013,1,31,2013,"Feb,May,Aug,Nov"
785,d,c,970,7,2005,1,31,2013,"Feb,May,Aug,Nov"
1004,d,c,970,,,1,9,2011,"Mar,Jun,Sept,Dec"
169,d,a,980,7,2014,1,18,2014,"Feb,May,Aug,Nov"
498,a,a,990,,,1,40,2014,"Jan,Apr,Jul,Oct"
538,a,a,990,2,2010,0,,,
220,a,a,1000,9,2008,0,,,
236,a,a,1000,11,2007,0,,,
567,c,a,1010,9,2012,1,18,2011,"Feb,May,Aug,Nov"
991,a,a,1010,,,0,,,
864,a,a,1020,10,2012,1,45,2009,"Feb,May,Aug,Nov"
22,a,a,1040,,,1,22,2012,"Jan,Apr,Jul,Oct"
132,d,c,1040,,,1,27,2012,"Jan,Apr,Jul,Oct"
48,a,a,1060,5,2012,0,,,
418,a,a,1060,5,2009,1,27,2011,"Feb,May,Aug,Nov"
959,a,c,1060,12,2005,0,,,
12,a,c,1070,,,1,13,2010,"Jan,Apr,Jul,Oct"
170,a,a,1070,5,2015,1,14,2011,"Jan,Apr,Jul,Oct"
308,a,a,1070,12,2006,1,13,2010,"Jan,Apr,Jul,Oct"
532,a,c,1070,8,2010,0,,,
662,d,a,1070,,,0,,,
840,a,a,1070,9,2009,0,,,
405,a,a,1080,4,2008,1,14,2011,"Jan,Apr,Jul,Oct"
543,c,a,1080,12,2012,0,,,
1021,a,a,1080,5,2011,0,,,
38,d,a,1090,4,2007,0,,,
77,d,c,1090,8,2009,1,10,2014,"Jan,Apr,Jul,Oct"
140,a,c,1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct"
142,a,a,1090,7,2002,0,,,
928,d,c,1090,,,1,31,2013,"Feb,May,Aug,Nov"
191,a,a,1100,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
292,a,a,1100,6,2009,0,,,
718,a,a,1100,6,2015,0,,,
878,d,c,1100,12,2014,0,,,
240,a,a,1110,5,2009,0,,,
438,d,c,1110,,,1,40,2012,"Jan,Apr,Jul,Oct"
850,d,a,1120,5,2007,1,31,2013,"Jan,Apr,Jul,Oct"
69,c,c,1130,,,1,40,2011,"Jan,Apr,Jul,Oct"
595,c,c,1130,6,2015,0,,,
1002,d,c,1130,11,2008,0,,,
1096,a,c,1130,,,1,10,2014,"Mar,Jun,Sept,Dec"
263,a,c,1140,5,2013,1,40,2014,"Jan,Apr,Jul,Oct"
556,d,c,1140,11,2014,0,,,
971,c,a,1140,5,2011,1,14,2012,"Mar,Jun,Sept,Dec"
374,a,a,1150,9,2007,0,,,
493,d,c,1150,,,1,14,2011,"Jan,Apr,Jul,Oct"
164,a,a,1160,9,2005,1,13,2010,"Jan,Apr,Jul,Oct"
614,a,a,1160,12,2012,0,,,
625,a,a,1170,4,2011,1,22,2012,"Feb,May,Aug,Nov"
41,d,c,1180,,,1,31,2013,"Jan,Apr,Jul,Oct"
262,b,a,1180,5,2013,0,,,
573,a,a,1190,11,2012,1,36,2013,"Jan,Apr,Jul,Oct"
730,c,a,1190,9,2013,0,,,
968,c,a,1190,,,0,,,
28,a,a,1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec"
46,c,a,1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct"
134,a,a,1200,9,2008,0,,,
514,c,c,1200,7,2012,1,27,2012,"Jan,Apr,Jul,Oct"
534,d,a,1200,9,2009,1,45,2009,"Jan,Apr,Jul,Oct"
554,c,c,1200,,,0,,,
660,a,a,1200,11,2006,1,40,2014,"Jan,Apr,Jul,Oct"
842,d,c,1200,11,2007,0,,,
941,a,a,1200,12,2011,1,31,2013,"Jan,Apr,Jul,Oct"
562,b,c,1210,,,0,,,
282,a,a,1220,12,2010,0,,,
177,a,a,1250,2,2004,1,5,2013,"Feb,May,Aug,Nov"
424,d,c,1250,,,1,40,2011,"Jan,Apr,Jul,Oct"
494,b,a,1260,6,2011,0,,,
1,c,a,1270,9,2008,0,,,
423,b,a,1270,5,2014,0,,,
668,c,a,1270,9,2010,0,,,
508,a,c,1280,,,1,40,2011,"Jan,Apr,Jul,Oct"
762,d,c,1280,,,1,10,2013,"Mar,Jun,Sept,Dec"
284,d,a,1290,,,1,40,2014,"Jan,Apr,Jul,Oct"
1065,a,a,1290,,,1,35,2011,"Mar,Jun,Sept,Dec"
14,a,a,1300,3,2014,1,40,2011,"Jan,Apr,Jul,Oct"
245,a,c,1310,,,0,,,
329,a,a,1310,6,1990,1,22,2012,"Mar,Jun,Sept,Dec"
33,a,c,1320,5,2013,0,,,
569,a,a,1340,9,2006,0,,,
939,d,a,1340,,,0,,,
1103,d,c,1340,10,2006,1,5,2013,"Feb,May,Aug,Nov"
127,d,a,1350,12,2005,1,13,2010,"Jan,Apr,Jul,Oct"
439,a,a,1350,9,2009,0,,,
584,d,a,1360,,,1,35,2010,"Mar,Jun,Sept,Dec"
868,d,c,1360,8,2005,1,10,2014,"Jan,Apr,Jul,Oct"
744,a,a,1370,12,2011,1,40,2014,"Jan,Apr,Jul,Oct"
106,a,a,1390,8,2013,0,,,
182,d,c,1390,,,1,9,2011,"Mar,Jun,Sept,Dec"
327,c,c,1390,12,2004,0,,,
1107,a,a,1400,6,2012,1,13,2010,"Jan,Apr,Jul,Oct"
124,a,a,1410,4,2003,0,,,
676,b,b,1410,9,2008,0,,,
1075,a,c,1410,10,2013,0,,,
237,a,a,1420,11,2007,0,,,
404,a,c,1420,,,1,10,2013,"Mar,Jun,Sept,Dec"
650,a,a,1420,10,2012,1,40,2014,"Jan,Apr,Jul,Oct"
957,d,c,1420,11,2012,0,,,
948,b,b,1430,,,0,,,
270,a,a,1450,7,2014,0,,,
368,d,c,1450,4,2005,1,45,2009,"Feb,May,Aug,Nov"
701,d,a,1450,3,2012,1,14,2011,"Jan,Apr,Jul,Oct"
286,a,a,1460,4,2015,0,,,
386,d,c,1460,4,2014,1,31,2013,"Jan,Apr,Jul,Oct"
425,d,c,1460,,,0,,,
190,a,a,1470,12,2006,1,40,2014,"Jan,Apr,Jul,Oct"
163,a,a,1480,4,2009,0,,,
931,a,c,1480,9,2011,1,1,2012,"Jan,Apr,Jul,Oct"
349,c,c,1490,4,2009,0,,,
354,d,c,1500,10,2005,0,,,
710,d,a,1500,9,2008,1,14,2011,"Jan,Apr,Jul,Oct"
447,a,c,1510,9,2013,0,,,
1022,a,c,1520,,,0,,,
788,a,c,1530,3,2013,0,,,
141,c,c,1540,,,1,22,2012,"Mar,Jun,Sept,Dec"
398,c,c,1540,,,1,1,2012,"Jan,Apr,Jul,Oct"
408,c,a,1560,,,1,45,2009,"Feb,May,Aug,Nov"
555,d,a,1560,1,2014,1,10,2013,"Mar,Jun,Sept,Dec"
813,a,a,1560,9,2003,0,,,
338,a,c,1590,,,1,37,2009,"Jan,Apr,Jul,Oct"
659,d,a,1590,3,2012,0,,,
1029,a,a,1590,3,2006,0,,,
390,a,c,1600,4,2009,0,,,
619,a,a,1600,6,2006,1,45,2009,"Feb,May,Aug,Nov"
1041,c,a,1600,8,2013,1,40,2014,"Jan,Apr,Jul,Oct"
497,a,c,1610,,,0,,,
419,c,a,1620,9,2009,0,,,
501,a,c,1620,9,2006,0,,,
112,a,a,1630,9,2009,0,,,
219,a,a,1640,2,2013,0,,,
989,a,a,1640,6,2006,1,40,2011,"Jan,Apr,Jul,Oct"
73,a,c,1650,9,2008,0,,,
200,a,a,1650,10,2000,0,,,
736,c,c,1650,,,1,14,2011,"Jan,Apr,Jul,Oct"
820,a,c,1650,,,1,40,2014,"Jan,Apr,Jul,Oct"
944,c,a,1670,7,2015,0,,,
664,d,c,1680,10,2005,0,,,
909,a,c,1680,,,1,45,2009,"Feb,May,Aug,Nov"
630,a,a,1690,4,2015,0,,,
955,d,c,1690,7,2009,1,36,2013,"Mar,Jun,Sept,Dec"
987,c,a,1690,6,2007,0,,,
139,a,a,1700,1,2008,1,14,2011,"Jan,Apr,Jul,Oct"
444,c,a,1700,11,2009,0,,,
821,a,a,1700,9,2009,0,,,
178,d,a,1710,,,0,,,
1053,a,a,1710,7,2015,0,,,
1073,a,c,1710,,,1,44,2012,"Jan,Apr,Jul,Oct"
137,a,a,1730,7,2015,1,40,2014,"Jan,Apr,Jul,Oct"
492,a,a,1740,3,2008,1,40,2012,"Jan,Apr,Jul,Oct"
677,d,a,1740,6,2014,1,45,2009,"Feb,May,Aug,Nov"
803,d,a,1760,,,1,10,2014,"Mar,Jun,Sept,Dec"
152,a,a,1780,,,0,,,
461,d,c,1790,7,2013,1,40,2013,"Jan,Apr,Jul,Oct"
594,a,a,1790,10,2011,0,,,
698,a,a,1790,5,2011,0,,,
381,a,a,1800,11,2006,1,5,2013,"Feb,May,Aug,Nov"
1098,a,a,1830,11,2004,0,,,
332,a,a,1840,3,2006,0,,,
452,a,c,1850,8,2013,1,5,2011,"Feb,May,Aug,Nov"
506,a,a,1850,12,2014,1,18,2011,"Feb,May,Aug,Nov"
772,d,c,1850,,,0,,,
185,d,c,1860,5,2015,0,,,
1048,d,c,1860,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
85,b,a,1870,10,2011,0,,,
525,d,c,1870,9,2013,0,,,
1112,c,c,1880,4,2006,0,,,
95,a,a,1890,10,2014,0,,,
233,a,a,1890,,,0,,,
